anio,producto,promedio,fuente
2002,diésel,10.39,consolidado histórico
2002,regular,14.33,consolidado histórico
2002,superior,15.91,consolidado histórico
2003,diésel,11.18,consolidado histórico
2003,regular,16.6,consolidado histórico
2003,superior,17.78,consolidado histórico
2004,diésel,13.68,consolidado histórico
2004,regular,18.33,consolidado histórico
2004,superior,20.28,consolidado histórico
2005,diésel,18.13,consolidado histórico
2005,regular,22.07,consolidado histórico
2005,superior,24.12,consolidado histórico
2006,diésel,19.99,consolidado histórico
2006,regular,24.37,consolidado histórico
2006,superior,26.44,consolidado histórico
2007,diésel,21.5,consolidado histórico
2007,regular,25.82,consolidado histórico
2007,superior,27.74,consolidado histórico
2008,diésel,30.12,consolidado histórico
2008,regular,30.58,consolidado histórico
2008,superior,32.39,consolidado histórico
2009,diésel,20.49,consolidado histórico
2009,regular,23.51,consolidado histórico
2009,superior,25.19,consolidado histórico
2010,diésel,24.42,consolidado histórico
2010,regular,27.75,consolidado histórico
2010,superior,29.33,consolidado histórico
2011,diésel,31.05,consolidado histórico
2011,regular,33.5,consolidado histórico
2011,superior,34.39,consolidado histórico
2012,diésel,31.93,consolidado histórico
2012,regular,34.68,consolidado histórico
2012,superior,35.38,consolidado histórico
2013,diésel,31.14,consolidado histórico
2013,regular,33.4,consolidado histórico
2013,superior,34.68,consolidado histórico
2014,diésel,29.81,consolidado histórico
2014,regular,31.63,consolidado histórico
2014,superior,33.4,consolidado histórico
2015,diésel,19.63,consolidado histórico
2015,regular,22.76,consolidado histórico
2015,superior,25.76,consolidado histórico
2016,diésel,16.81,consolidado histórico
2016,regular,20.79,consolidado histórico
2016,superior,23.84,consolidado histórico
2017,diésel,18.88,consolidado histórico
2017,regular,22.82,consolidado histórico
2017,superior,25.26,consolidado histórico
2018,diésel,22.69,consolidado histórico
2018,regular,25.79,consolidado histórico
2018,superior,27.46,consolidado histórico
2019,diésel,21.93,consolidado histórico
2019,regular,24.71,consolidado histórico
2019,superior,26.38,consolidado histórico
