url,medio,titulo,publicado,procesado_at,extractor,n_obs,error
https://emisorasunidas.com/nacional/2026/09/23/combustibles-gasolina-precios-septiembre-2026-guatemala/,emisorasunidas.com,Gasolinas reflejan nueva variación de precios en Guatemala,2026-09-23,2026-09-25T04:05:20-06:00,llm,2,
https://lahora.gt/lh-economia/jveliz/2026/09/18/precio-del-diesel-en-ee-uu-alcanza-record-de-usd-6-47-por-galon-mientras-guatemala-tambien-siente-la-presion/,lahora.gt,"Precio del diésel en EE. UU. alcanza récord de USD 6.47 por galón, mientras Guatemala también siente la presión",2026-09-18,2026-09-25T04:06:53-06:00,llm,0,
https://lahora.gt/lh-economia/la-hora/2026/09/18/de-q25-a-mas-de-q50-al-consumidor-asi-se-ha-disparado-el-precio-del-diesel-en-guatemala-durante-2026-now/,lahora.gt,De Q25 a más de Q50 al consumidor: así se ha disparado el precio del diésel en Guatemala durante 2026,2026-09-18,2026-09-25T04:07:18-06:00,llm,0,
https://www.elsalvador.com/noticias/internacional/impuestos-combustibles-precios-guatemala/1294766/2026/,elsalvador.com,Guatemala exonera impuestos a gasolina y diésel hasta diciembre,2026-09-23,2026-09-25T04:04:57-06:00,llm,3,
https://www.guatemala.com/noticias/comunidad/autorizan-exoneracion-temporal-impuestos-iva-e-idp-gasolina-diesel-guatemala.html,guatemala.com,Combustibles en Guatemala estarán exentos temporalmente de impuestos,2026-09-23,2026-09-25T04:05:42-06:00,llm,0,
https://www.infobae.com/el-salvador/2026/09/17/cuanto-cuesta-cargar-combustible-en-centroamerica-precios-por-galon-en-cada-pais/,infobae.com,Cuánto cuesta cargar combustible en Centroamérica: precios por galón en cada país,2026-09-16,2026-09-25T04:26:21-06:00,llm,6,
https://www.prensalibre.com/economia/nuevo-aumento-de-combustibles-lleva-al-diesel-cerca-de-q50-por-galon-en-modalidad-autoservicio/,prensalibre.com,"Nuevo aumento de combustibles lleva al diésel cerca de Q50 por galón, en modalidad autoservicio",2026-09-15,2026-09-25T04:26:47-06:00,llm,3,
https://www.prensalibre.com/economia/precio-de-los-combustibles-en-guatemala-estos-son-los-precios-de-galon-de-regular-y-super-en-autoservicio/,prensalibre.com,Precio de los combustibles en Guatemala: estos son los precios de galón de regular y super en autoservicio,2026-09-23,2026-09-25T04:04:34-06:00,llm,6,
https://www.prensalibre.com/internacional/combustible-supera-los-q42-en-guatemala-cuanto-cuesta-en-el-resto-de-centroamerica/,prensalibre.com,Combustible supera los Q42 en Guatemala: ¿Cuánto cuesta en el resto de Centroamérica?,2026-09-16,2026-09-25T04:25:57-06:00,llm,0,
https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,publinews.gt,Así están los precios de los combustibles este lunes,2026-09-21,2026-09-25T04:06:30-06:00,llm,6,
https://www.publinews.gt/noticias/2026/09/23/precios-de-combustibles-presentan-cambios-para-este-miercoles/,publinews.gt,Así están los precios de los combustibles este jueves en Guatemala,2026-09-23,2026-09-25T04:06:07-06:00,llm,9,
