fecha,precio,fuente
2021-01-01,17.61,MEM
2021-01-02,17.61,MEM
2021-01-03,17.61,MEM
2021-01-04,17.61,MEM
2021-01-05,17.61,MEM
2021-01-06,17.61,MEM
2021-01-07,17.61,MEM
2021-01-08,17.61,MEM
2021-01-09,17.61,MEM
2021-01-10,17.61,MEM
2021-01-11,17.69,MEM
2021-01-12,17.69,MEM
2021-01-13,17.69,MEM
2021-01-14,17.69,MEM
2021-01-15,17.69,MEM
2021-01-16,17.69,MEM
2021-01-17,17.69,MEM
2021-01-18,18.3,MEM
2021-01-19,18.3,MEM
2021-01-20,18.3,MEM
2021-01-21,18.3,MEM
2021-01-22,18.3,MEM
2021-01-23,18.3,MEM
2021-01-24,18.3,MEM
2021-01-25,18.47,MEM
2021-01-26,18.47,MEM
2021-01-27,18.47,MEM
2021-01-28,18.47,MEM
2021-01-29,18.47,MEM
2021-01-30,18.47,MEM
2021-01-31,18.47,MEM
2021-02-01,18.57,MEM
2021-02-02,18.57,MEM
2021-02-03,18.57,MEM
2021-02-04,18.57,MEM
2021-02-05,18.57,MEM
2021-02-06,18.57,MEM
2021-02-07,18.57,MEM
2021-02-08,18.98,MEM
2021-02-09,18.98,MEM
2021-02-10,18.98,MEM
2021-02-11,18.98,MEM
2021-02-12,18.98,MEM
2021-02-13,18.98,MEM
2021-02-14,18.98,MEM
2021-02-15,19.79,MEM
2021-02-16,19.79,MEM
2021-02-17,19.79,MEM
2021-02-18,19.79,MEM
2021-02-19,19.79,MEM
2021-02-20,19.79,MEM
2021-02-21,19.79,MEM
2021-02-22,20.5,MEM
2021-02-23,20.5,MEM
2021-02-24,20.5,MEM
2021-02-25,20.5,MEM
2021-02-26,20.5,MEM
2021-02-27,20.5,MEM
2021-02-28,20.5,MEM
2021-03-01,20.86,MEM
2021-03-02,20.86,MEM
2021-03-03,20.86,MEM
2021-03-04,20.86,MEM
2021-03-05,20.86,MEM
2021-03-06,20.86,MEM
2021-03-07,20.86,MEM
2021-03-08,21.31,MEM
2021-03-09,21.31,MEM
2021-03-10,21.31,MEM
2021-03-11,21.31,MEM
2021-03-12,21.31,MEM
2021-03-13,21.31,MEM
2021-03-14,21.31,MEM
2021-03-15,21.68,MEM
2021-03-16,21.68,MEM
2021-03-17,21.68,MEM
2021-03-18,21.68,MEM
2021-03-19,21.68,MEM
2021-03-20,21.68,MEM
2021-03-21,21.68,MEM
2021-03-22,21.41,MEM
2021-03-23,21.41,MEM
2021-03-24,21.41,MEM
2021-03-25,21.41,MEM
2021-03-26,21.41,MEM
2021-03-27,21.41,MEM
2021-03-28,21.41,MEM
2021-03-29,20.8,MEM
2021-03-30,20.8,MEM
2021-03-31,20.8,MEM
2021-04-01,20.8,MEM
2021-04-02,20.8,MEM
2021-04-03,20.8,MEM
2021-04-04,20.8,MEM
2021-04-05,20.71,MEM
2021-04-06,20.71,MEM
2021-04-07,20.71,MEM
2021-04-08,20.71,MEM
2021-04-09,20.71,MEM
2021-04-10,20.71,MEM
2021-04-11,20.71,MEM
2021-04-12,20.43,MEM
2021-04-13,20.43,MEM
2021-04-14,20.43,MEM
2021-04-15,20.43,MEM
2021-04-16,20.43,MEM
2021-04-17,20.43,MEM
2021-04-18,20.43,MEM
2021-04-19,20.59,MEM
2021-04-20,20.59,MEM
2021-04-21,20.59,MEM
2021-04-22,20.59,MEM
2021-04-23,20.59,MEM
2021-04-24,20.59,MEM
2021-04-25,20.59,MEM
2021-04-26,20.87,MEM
2021-04-27,20.87,MEM
2021-04-28,20.87,MEM
2021-04-29,20.87,MEM
2021-04-30,20.87,MEM
2021-05-01,20.87,MEM
2021-05-02,20.87,MEM
2021-05-03,21.12,MEM
2021-05-04,21.12,MEM
2021-05-05,21.12,MEM
2021-05-06,21.12,MEM
2021-05-07,21.12,MEM
2021-05-08,21.12,MEM
2021-05-09,21.12,MEM
2021-05-10,21.79,MEM
2021-05-11,21.79,MEM
2021-05-12,21.79,MEM
2021-05-13,21.79,MEM
2021-05-14,21.79,MEM
2021-05-15,21.79,MEM
2021-05-16,21.79,MEM
2021-05-17,21.79,MEM
2021-05-18,21.79,MEM
2021-05-19,21.79,MEM
2021-05-20,21.79,MEM
2021-05-21,21.79,MEM
2021-05-22,21.79,MEM
2021-05-23,21.79,MEM
2021-05-24,21.78,MEM
2021-05-25,21.78,MEM
2021-05-26,21.78,MEM
2021-05-27,21.78,MEM
2021-05-28,21.78,MEM
2021-05-29,21.78,MEM
2021-05-30,21.78,MEM
2021-05-31,22.29,MEM
2021-06-01,22.29,MEM
2021-06-02,22.29,MEM
2021-06-03,22.29,MEM
2021-06-04,22.29,MEM
2021-06-05,22.29,MEM
2021-06-06,22.29,MEM
2021-06-07,22.58,MEM
2021-06-08,22.58,MEM
2021-06-09,22.58,MEM
2021-06-10,22.58,MEM
2021-06-11,22.58,MEM
2021-06-12,22.58,MEM
2021-06-13,22.58,MEM
2021-06-14,22.7,MEM
2021-06-15,22.7,MEM
2021-06-16,22.7,MEM
2021-06-17,22.7,MEM
2021-06-18,22.7,MEM
2021-06-19,22.7,MEM
2021-06-20,22.7,MEM
2021-06-21,21.88,MEM
2021-06-22,21.88,MEM
2021-06-23,21.88,MEM
2021-06-24,21.88,MEM
2021-06-25,21.88,MEM
2021-06-26,21.88,MEM
2021-06-27,21.88,MEM
2021-06-28,21.88,MEM
2021-06-29,21.81,MEM
2021-06-30,21.81,MEM
2021-07-01,21.81,MEM
2021-07-02,21.81,MEM
2021-07-03,21.81,MEM
2021-07-04,21.81,MEM
2021-07-05,22.97,MEM
2021-07-06,22.97,MEM
2021-07-07,22.97,MEM
2021-07-08,22.97,MEM
2021-07-09,22.97,MEM
2021-07-10,22.97,MEM
2021-07-11,22.97,MEM
2021-07-12,22.82,MEM
2021-07-13,22.82,MEM
2021-07-14,22.82,MEM
2021-07-15,22.82,MEM
2021-07-16,22.82,MEM
2021-07-17,22.82,MEM
2021-07-18,22.82,MEM
2021-07-19,22.55,MEM
2021-07-20,22.55,MEM
2021-07-21,22.55,MEM
2021-07-22,22.55,MEM
2021-07-23,22.55,MEM
2021-07-24,22.55,MEM
2021-07-25,22.55,MEM
2021-07-26,22.1,MEM
2021-07-27,22.1,MEM
2021-07-28,22.1,MEM
2021-07-29,22.1,MEM
2021-07-30,22.1,MEM
2021-07-31,22.1,MEM
2021-08-01,22.1,MEM
2021-08-02,23.1,MEM
2021-08-03,23.1,MEM
2021-08-04,23.1,MEM
2021-08-05,23.1,MEM
2021-08-06,23.1,MEM
2021-08-07,23.1,MEM
2021-08-08,23.1,MEM
2021-08-09,23.09,MEM
2021-08-10,23.09,MEM
2021-08-11,23.09,MEM
2021-08-12,23.09,MEM
2021-08-13,23.09,MEM
2021-08-14,23.09,MEM
2021-08-15,23.09,MEM
2021-08-16,23.09,MEM
2021-08-17,22.8,MEM
2021-08-18,22.8,MEM
2021-08-19,22.8,MEM
2021-08-20,22.8,MEM
2021-08-21,22.8,MEM
2021-08-22,22.8,MEM
2021-08-23,22.79,MEM
2021-08-24,22.79,MEM
2021-08-25,22.79,MEM
2021-08-26,22.79,MEM
2021-08-27,22.79,MEM
2021-08-28,22.79,MEM
2021-08-29,22.79,MEM
2021-08-30,22.79,MEM
2021-08-31,22.79,MEM
2021-09-01,22.79,MEM
2021-09-02,22.79,MEM
2021-09-03,22.79,MEM
2021-09-04,22.79,MEM
2021-09-05,22.79,MEM
2021-09-06,23.2,MEM
2021-09-07,23.2,MEM
2021-09-08,23.2,MEM
2021-09-09,23.2,MEM
