anio,mes,producto,promedio,fuente
2020,1,superior,24.75,MEM mensual
2020,1,regular,23.74,MEM mensual
2020,1,diésel,21.09,MEM mensual
2020,2,superior,23.67,MEM mensual
2020,2,regular,22.65,MEM mensual
2020,2,diésel,18.74,MEM mensual
2020,3,superior,22.62,MEM mensual
2020,3,regular,21.62,MEM mensual
2020,3,diésel,17.11,MEM mensual
2020,4,superior,17.89,MEM mensual
2020,4,regular,16.87,MEM mensual
2020,4,diésel,14.91,MEM mensual
2020,5,superior,17.67,MEM mensual
2020,5,regular,16.66,MEM mensual
2020,5,diésel,14.09,MEM mensual
2020,6,superior,20.04,MEM mensual
2020,6,regular,19.18,MEM mensual
2020,6,diésel,15.34,MEM mensual
2020,7,superior,21.50,MEM mensual
2020,7,regular,20.70,MEM mensual
2020,7,diésel,16.34,MEM mensual
2020,8,superior,21.21,MEM mensual
2020,8,regular,20.40,MEM mensual
2020,8,diésel,16.62,MEM mensual
2020,9,superior,21.08,MEM mensual
2020,9,regular,20.28,MEM mensual
2020,9,diésel,15.45,MEM mensual
2020,10,superior,21.15,MEM mensual
2020,10,regular,20.35,MEM mensual
2020,10,diésel,15.01,MEM mensual
2020,11,superior,20.11,MEM mensual
2020,11,regular,19.31,MEM mensual
2020,11,diésel,15.07,MEM mensual
2020,12,superior,21.61,MEM mensual
2020,12,regular,20.81,MEM mensual
2020,12,diésel,17.23,MEM mensual
2021,1,superior,22.74,MEM mensual
2021,1,regular,21.94,MEM mensual
2021,1,diésel,18.02,MEM mensual
2021,2,superior,24.45,MEM mensual
2021,2,regular,23.65,MEM mensual
2021,2,diésel,19.46,MEM mensual
2021,3,superior,26.62,MEM mensual
2021,3,regular,25.82,MEM mensual
2021,3,diésel,21.21,MEM mensual
2021,4,superior,26.92,MEM mensual
2021,4,regular,26.13,MEM mensual
2021,4,diésel,20.65,MEM mensual
2021,5,superior,27.80,MEM mensual
2021,5,regular,26.99,MEM mensual
2021,5,diésel,21.75,MEM mensual
2021,6,superior,27.87,MEM mensual
2021,6,regular,27.07,MEM mensual
2021,6,diésel,22.26,MEM mensual
2021,7,superior,28.46,MEM mensual
2021,7,regular,27.66,MEM mensual
2021,7,diésel,22.61,MEM mensual
2021,8,superior,28.91,MEM mensual
2021,8,regular,28.11,MEM mensual
2021,8,diésel,22.91,MEM mensual
2021,9,superior,29.19,MEM mensual
2021,9,regular,28.49,MEM mensual
2021,9,diésel,23.56,MEM mensual
2021,10,superior,29.99,MEM mensual
2021,10,regular,29.29,MEM mensual
2021,10,diésel,25.46,MEM mensual
2021,11,superior,30.48,MEM mensual
2021,11,regular,29.78,MEM mensual
2021,11,diésel,26.02,MEM mensual
2021,12,superior,28.77,MEM mensual
2021,12,regular,28.03,MEM mensual
2021,12,diésel,24.36,MEM mensual
2022,1,superior,30.38,MEM mensual
2022,1,regular,29.58,MEM mensual
2022,1,diésel,26.40,MEM mensual
2022,2,superior,32.95,MEM mensual
2022,2,regular,32.20,MEM mensual
2022,2,diésel,29.29,MEM mensual
2022,3,superior,38.25,MEM mensual
2022,3,regular,37.64,MEM mensual
2022,3,diésel,36.21,MEM mensual
2022,4,superior,37.86,MEM mensual
2022,4,regular,34.84,MEM mensual
2022,4,diésel,32.95,MEM mensual
2022,5,superior,41.25,MEM mensual
