fecha,producto,modalidad,precio,tipo,medio,url,cita,extractor,fetched_at
2026-09-21,diésel,autoservicio,49.4,referencia,elsalvador.com,https://www.elsalvador.com/noticias/internacional/impuestos-combustibles-precios-guatemala/1294766/2026/,Q49.40 para el diésel,llm,2026-09-25T04:04:57-06:00
2026-09-21,diésel,autoservicio,49.4,monitoreado,prensalibre.com,https://www.prensalibre.com/economia/precio-de-los-combustibles-en-guatemala-estos-son-los-precios-de-galon-de-regular-y-super-en-autoservicio/,Q49.40 para el diésel,llm,2026-09-25T04:04:34-06:00
2026-09-21,diésel,autoservicio,49.49,monitoreado,publinews.gt,https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,Diésel: Q49.49 por galón,llm,2026-09-25T04:06:30-06:00
2026-09-21,diésel,autoservicio,49.4,referencia,publinews.gt,https://www.publinews.gt/noticias/2026/09/23/precios-de-combustibles-presentan-cambios-para-este-miercoles/,diésel se ubica en Q49.40,llm,2026-09-25T04:06:07-06:00
2026-09-21,diésel,servicio_completo,50.5,monitoreado,globalpetrolprices.com,https://globalpetrolprices.com/Guatemala/,Diesel 13.341 GTQ/L,api,2026-09-25T04:07:20-06:00
2026-09-21,diésel,servicio_completo,50.49,monitoreado,publinews.gt,https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,Q50.49 para el diésel,llm,2026-09-25T04:06:30-06:00
2026-09-21,diésel,servicio_completo,50.5,referencia,publinews.gt,https://www.publinews.gt/noticias/2026/09/23/precios-de-combustibles-presentan-cambios-para-este-miercoles/,Diésel: Q50.50 por galón,llm,2026-09-25T04:06:07-06:00
2026-09-21,regular,autoservicio,42.58,referencia,elsalvador.com,https://www.elsalvador.com/noticias/internacional/impuestos-combustibles-precios-guatemala/1294766/2026/,Q42.58 para la regular,llm,2026-09-25T04:04:57-06:00
2026-09-21,regular,autoservicio,42.58,monitoreado,prensalibre.com,https://www.prensalibre.com/economia/precio-de-los-combustibles-en-guatemala-estos-son-los-precios-de-galon-de-regular-y-super-en-autoservicio/,promedio de Q42.58 por galón para la gasolina regular,llm,2026-09-25T04:04:34-06:00
2026-09-21,regular,autoservicio,42.69,monitoreado,publinews.gt,https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,Gasolina regular: Q42.69 por galón,llm,2026-09-25T04:06:30-06:00
2026-09-21,regular,autoservicio,42.58,referencia,publinews.gt,https://www.publinews.gt/noticias/2026/09/23/precios-de-combustibles-presentan-cambios-para-este-miercoles/,regular se mantiene en Q42.58,llm,2026-09-25T04:06:07-06:00
2026-09-21,regular,servicio_completo,43.69,monitoreado,publinews.gt,https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,Q43.69 para la regular,llm,2026-09-25T04:06:30-06:00
2026-09-21,regular,servicio_completo,43.66,referencia,publinews.gt,https://www.publinews.gt/noticias/2026/09/23/precios-de-combustibles-presentan-cambios-para-este-miercoles/,Gasolina regular: Q43.66 por galón,llm,2026-09-25T04:06:07-06:00
2026-09-21,superior,autoservicio,44.61,referencia,elsalvador.com,https://www.elsalvador.com/noticias/internacional/impuestos-combustibles-precios-guatemala/1294766/2026/,precio promedio de Q44.61 por galón de gasolina superior,llm,2026-09-25T04:04:57-06:00
2026-09-21,superior,autoservicio,44.61,monitoreado,prensalibre.com,https://www.prensalibre.com/economia/precio-de-los-combustibles-en-guatemala-estos-son-los-precios-de-galon-de-regular-y-super-en-autoservicio/,Q44.61 para la superior,llm,2026-09-25T04:04:34-06:00
2026-09-21,superior,autoservicio,44.69,monitoreado,publinews.gt,https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,Gasolina superior: Q44.69 por galón,llm,2026-09-25T04:06:30-06:00
2026-09-21,superior,autoservicio,44.61,referencia,publinews.gt,https://www.publinews.gt/noticias/2026/09/23/precios-de-combustibles-presentan-cambios-para-este-miercoles/,gasolina superior registra un precio de referencia de Q44.61 por galón,llm,2026-09-25T04:06:07-06:00
2026-09-21,superior,servicio_completo,45.74,monitoreado,globalpetrolprices.com,https://globalpetrolprices.com/Guatemala/,Gasoline 12.083 GTQ/L,api,2026-09-25T04:07:20-06:00
2026-09-21,superior,servicio_completo,45.69,monitoreado,publinews.gt,https://www.publinews.gt/noticias/2026/09/21/asi-estan-los-precios-de-los-combustibles-este-lunes/,Q45.69 para la gasolina superior,llm,2026-09-25T04:06:30-06:00
