fecha,producto,precio,fuente
2021-01-01,regular,21.11,Ministerio de Energía y Minas
2021-01-01,superior,21.91,Ministerio de Energía y Minas
2021-01-02,regular,21.11,Ministerio de Energía y Minas
2021-01-02,superior,21.91,Ministerio de Energía y Minas
2021-01-03,regular,21.11,Ministerio de Energía y Minas
2021-01-03,superior,21.91,Ministerio de Energía y Minas
2021-01-04,regular,21.11,Ministerio de Energía y Minas
2021-01-04,superior,21.91,Ministerio de Energía y Minas
2021-01-05,regular,21.11,Ministerio de Energía y Minas
2021-01-05,superior,21.91,Ministerio de Energía y Minas
2021-01-06,regular,21.11,Ministerio de Energía y Minas
2021-01-06,superior,21.91,Ministerio de Energía y Minas
2021-01-07,regular,21.11,Ministerio de Energía y Minas
2021-01-07,superior,21.91,Ministerio de Energía y Minas
2021-01-08,regular,21.11,Ministerio de Energía y Minas
2021-01-08,superior,21.91,Ministerio de Energía y Minas
2021-01-09,regular,21.11,Ministerio de Energía y Minas
2021-01-09,superior,21.91,Ministerio de Energía y Minas
2021-01-10,regular,21.11,Ministerio de Energía y Minas
2021-01-10,superior,21.91,Ministerio de Energía y Minas
2021-01-11,regular,21.59,Ministerio de Energía y Minas
2021-01-11,superior,22.39,Ministerio de Energía y Minas
2021-01-12,regular,21.59,Ministerio de Energía y Minas
2021-01-12,superior,22.39,Ministerio de Energía y Minas
2021-01-13,regular,21.59,Ministerio de Energía y Minas
2021-01-13,superior,22.39,Ministerio de Energía y Minas
2021-01-14,regular,21.59,Ministerio de Energía y Minas
2021-01-14,superior,22.39,Ministerio de Energía y Minas
2021-01-15,regular,21.59,Ministerio de Energía y Minas
2021-01-15,superior,22.39,Ministerio de Energía y Minas
2021-01-16,regular,21.59,Ministerio de Energía y Minas
2021-01-16,superior,22.39,Ministerio de Energía y Minas
2021-01-17,regular,21.59,Ministerio de Energía y Minas
2021-01-17,superior,22.39,Ministerio de Energía y Minas
2021-01-18,regular,22.41,Ministerio de Energía y Minas
2021-01-18,superior,23.21,Ministerio de Energía y Minas
2021-01-19,regular,22.41,Ministerio de Energía y Minas
2021-01-19,superior,23.21,Ministerio de Energía y Minas
2021-01-20,regular,22.41,Ministerio de Energía y Minas
2021-01-20,superior,23.21,Ministerio de Energía y Minas
2021-01-21,regular,22.41,Ministerio de Energía y Minas
2021-01-21,superior,23.21,Ministerio de Energía y Minas
2021-01-22,regular,22.41,Ministerio de Energía y Minas
2021-01-22,superior,23.21,Ministerio de Energía y Minas
2021-01-23,regular,22.41,Ministerio de Energía y Minas
2021-01-23,superior,23.21,Ministerio de Energía y Minas
2021-01-24,regular,22.41,Ministerio de Energía y Minas
2021-01-24,superior,23.21,Ministerio de Energía y Minas
2021-01-25,regular,22.64,Ministerio de Energía y Minas
2021-01-25,superior,23.44,Ministerio de Energía y Minas
2021-01-26,regular,22.64,Ministerio de Energía y Minas
2021-01-26,superior,23.44,Ministerio de Energía y Minas
2021-01-27,regular,22.64,Ministerio de Energía y Minas
2021-01-27,superior,23.44,Ministerio de Energía y Minas
2021-01-28,regular,22.64,Ministerio de Energía y Minas
2021-01-28,superior,23.44,Ministerio de Energía y Minas
2021-01-29,regular,22.64,Ministerio de Energía y Minas
2021-01-29,superior,23.44,Ministerio de Energía y Minas
2021-01-30,regular,22.64,Ministerio de Energía y Minas
2021-01-30,superior,23.44,Ministerio de Energía y Minas
2021-01-31,regular,22.64,Ministerio de Energía y Minas
2021-01-31,superior,23.44,Ministerio de Energía y Minas
2021-02-01,regular,22.77,Ministerio de Energía y Minas
2021-02-01,superior,23.57,Ministerio de Energía y Minas
2021-02-02,regular,22.77,Ministerio de Energía y Minas
2021-02-02,superior,23.57,Ministerio de Energía y Minas
2021-02-03,regular,22.77,Ministerio de Energía y Minas
2021-02-03,superior,23.57,Ministerio de Energía y Minas
2021-02-04,regular,22.77,Ministerio de Energía y Minas
2021-02-04,superior,23.57,Ministerio de Energía y Minas
2021-02-05,regular,22.77,Ministerio de Energía y Minas
2021-02-05,superior,23.57,Ministerio de Energía y Minas
2021-02-06,regular,22.77,Ministerio de Energía y Minas
2021-02-06,superior,23.57,Ministerio de Energía y Minas
2021-02-07,regular,22.77,Ministerio de Energía y Minas
2021-02-07,superior,23.57,Ministerio de Energía y Minas
2021-02-08,regular,23.18,Ministerio de Energía y Minas
2021-02-08,superior,23.98,Ministerio de Energía y Minas
2021-02-09,regular,23.18,Ministerio de Energía y Minas
2021-02-09,superior,23.98,Ministerio de Energía y Minas
2021-02-10,regular,23.18,Ministerio de Energía y Minas
2021-02-10,superior,23.98,Ministerio de Energía y Minas
2021-02-11,regular,23.18,Ministerio de Energía y Minas
2021-02-11,superior,23.98,Ministerio de Energía y Minas
2021-02-12,regular,23.18,Ministerio de Energía y Minas
2021-02-12,superior,23.98,Ministerio de Energía y Minas
2021-02-13,regular,23.18,Ministerio de Energía y Minas
2021-02-13,superior,23.98,Ministerio de Energía y Minas
2021-02-14,regular,23.18,Ministerio de Energía y Minas
2021-02-14,superior,23.98,Ministerio de Energía y Minas
2021-02-15,regular,23.59,Ministerio de Energía y Minas
2021-02-15,superior,24.39,Ministerio de Energía y Minas
2021-02-16,regular,23.59,Ministerio de Energía y Minas
2021-02-16,superior,24.39,Ministerio de Energía y Minas
2021-02-17,regular,23.59,Ministerio de Energía y Minas
2021-02-17,superior,24.39,Ministerio de Energía y Minas
2021-02-18,regular,23.59,Ministerio de Energía y Minas
2021-02-18,superior,24.39,Ministerio de Energía y Minas
2021-02-19,regular,23.59,Ministerio de Energía y Minas
2021-02-19,superior,24.39,Ministerio de Energía y Minas
2021-02-20,regular,23.59,Ministerio de Energía y Minas
2021-02-20,superior,24.39,Ministerio de Energía y Minas
2021-02-21,regular,23.59,Ministerio de Energía y Minas
2021-02-21,superior,24.39,Ministerio de Energía y Minas
2021-02-22,diésel,20.5,Ministerio de Energía y Minas
2021-02-22,regular,24.3,Ministerio de Energía y Minas
2021-02-22,superior,25.1,Ministerio de Energía y Minas
2021-02-23,diésel,20.5,Ministerio de Energía y Minas
2021-02-23,regular,24.3,Ministerio de Energía y Minas
2021-02-23,superior,25.1,Ministerio de Energía y Minas
2021-02-24,diésel,20.5,Ministerio de Energía y Minas
2021-02-24,regular,24.3,Ministerio de Energía y Minas
2021-02-24,superior,25.1,Ministerio de Energía y Minas
2021-02-25,diésel,20.5,Ministerio de Energía y Minas
2021-02-25,regular,24.3,Ministerio de Energía y Minas
2021-02-25,superior,25.1,Ministerio de Energía y Minas
2021-02-26,diésel,20.5,Ministerio de Energía y Minas
2021-02-26,regular,24.3,Ministerio de Energía y Minas
2021-02-26,superior,25.1,Ministerio de Energía y Minas
2021-02-27,diésel,20.5,Ministerio de Energía y Minas
2021-02-27,regular,24.3,Ministerio de Energía y Minas
2021-02-27,superior,25.1,Ministerio de Energía y Minas
2021-02-28,diésel,20.5,Ministerio de Energía y Minas
2021-02-28,regular,24.3,Ministerio de Energía y Minas
2021-02-28,superior,25.1,Ministerio de Energía y Minas
2021-03-01,diésel,20.86,Ministerio de Energía y Minas
2021-03-01,regular,25.05,Ministerio de Energía y Minas
2021-03-01,superior,25.85,Ministerio de Energía y Minas
2021-03-02,diésel,20.86,Ministerio de Energía y Minas
2021-03-02,regular,25.05,Ministerio de Energía y Minas
2021-03-02,superior,25.85,Ministerio de Energía y Minas
2021-03-03,diésel,20.86,Ministerio de Energía y Minas
2021-03-03,regular,25.05,Ministerio de Energía y Minas
2021-03-03,superior,25.85,Ministerio de Energía y Minas
2021-03-04,diésel,20.86,Ministerio de Energía y Minas
2021-03-04,regular,25.05,Ministerio de Energía y Minas
2021-03-04,superior,25.85,Ministerio de Energía y Minas
2021-03-05,diésel,20.86,Ministerio de Energía y Minas
2021-03-05,regular,25.05,Ministerio de Energía y Minas
2021-03-05,superior,25.85,Ministerio de Energía y Minas
2021-03-06,diésel,20.86,Ministerio de Energía y Minas
2021-03-06,regular,25.05,Ministerio de Energía y Minas
2021-03-06,superior,25.85,Ministerio de Energía y Minas
2021-03-07,diésel,20.86,Ministerio de Energía y Minas
2021-03-07,regular,25.05,Ministerio de Energía y Minas
2021-03-07,superior,25.85,Ministerio de Energía y Minas
2021-03-08,diésel,21.31,Ministerio de Energía y Minas
2021-03-08,regular,25.81,Ministerio de Energía y Minas
2021-03-08,superior,26.6,Ministerio de Energía y Minas
2021-03-09,diésel,21.31,Ministerio de Energía y Minas
2021-03-09,regular,25.81,Ministerio de Energía y Minas
2021-03-09,superior,26.6,Ministerio de Energía y Minas
2021-03-10,diésel,21.31,Ministerio de Energía y Minas
2021-03-10,regular,25.81,Ministerio de Energía y Minas
2021-03-10,superior,26.6,Ministerio de Energía y Minas
2021-03-11,diésel,21.31,Ministerio de Energía y Minas
2021-03-11,regular,25.81,Ministerio de Energía y Minas
2021-03-11,superior,26.6,Ministerio de Energía y Minas
2021-03-12,diésel,21.31,Ministerio de Energía y Minas
2021-03-12,regular,25.81,Ministerio de Energía y Minas
2021-03-12,superior,26.6,Ministerio de Energía y Minas
2021-03-13,diésel,21.31,Ministerio de Energía y Minas
2021-03-13,regular,25.81,Ministerio de Energía y Minas
2021-03-13,superior,26.6,Ministerio de Energía y Minas
2021-03-14,diésel,21.31,Ministerio de Energía y Minas
2021-03-14,regular,25.81,Ministerio de Energía y Minas
2021-03-14,superior,26.6,Ministerio de Energía y Minas
2021-03-15,diésel,21.68,Ministerio de Energía y Minas
2021-03-15,regular,26.47,Ministerio de Energía y Minas
2021-03-15,superior,27.27,Ministerio de Energía y Minas
2021-03-16,diésel,21.68,Ministerio de Energía y Minas
2021-03-16,regular,26.47,Ministerio de Energía y Minas
2021-03-16,superior,27.27,Ministerio de Energía y Minas
2021-03-17,diésel,21.68,Ministerio de Energía y Minas
2021-03-17,regular,26.47,Ministerio de Energía y Minas
2021-03-17,superior,27.27,Ministerio de Energía y Minas
2021-03-18,diésel,21.68,Ministerio de Energía y Minas
2021-03-18,regular,26.47,Ministerio de Energía y Minas
2021-03-18,superior,27.27,Ministerio de Energía y Minas
2021-03-19,diésel,21.68,Ministerio de Energía y Minas
2021-03-19,regular,26.47,Ministerio de Energía y Minas
2021-03-19,superior,27.27,Ministerio de Energía y Minas
2021-03-20,diésel,21.68,Ministerio de Energía y Minas
2021-03-20,regular,26.47,Ministerio de Energía y Minas
2021-03-20,superior,27.27,Ministerio de Energía y Minas
2021-03-21,diésel,21.68,Ministerio de Energía y Minas
2021-03-21,regular,26.47,Ministerio de Energía y Minas
2021-03-21,superior,27.27,Ministerio de Energía y Minas
2021-03-22,diésel,21.41,Ministerio de Energía y Minas
2021-03-22,regular,26.22,Ministerio de Energía y Minas
2021-03-22,superior,27.02,Ministerio de Energía y Minas
2021-03-23,diésel,21.41,Ministerio de Energía y Minas
2021-03-23,regular,26.22,Ministerio de Energía y Minas
2021-03-23,superior,27.02,Ministerio de Energía y Minas
2021-03-24,diésel,21.41,Ministerio de Energía y Minas
2021-03-24,regular,26.22,Ministerio de Energía y Minas
2021-03-24,superior,27.02,Ministerio de Energía y Minas
2021-03-25,diésel,21.41,Ministerio de Energía y Minas
2021-03-25,regular,26.22,Ministerio de Energía y Minas
2021-03-25,superior,27.02,Ministerio de Energía y Minas
